ledger_id,date,amount,description,reference_id
LDG_047,2026-08-19,8200.0,Oracle Corp - ERP Database Cloud Services,ORA-CLD-90
LDG_048,2026-08-21,1250.0,LinkedIn Corporation - Talent Solutions Recruiter,LNKD-AUG-21
LDG_049,2026-08-22,490.0,Expensify Corporate Card Processing,EXPF-AUG-44
LDG_050,2026-08-23,1420.5,Airbnb Payments UK - Annual Leadership Offsite,ABNB-TRV-10
LDG_051,2026-08-25,580.0,Intuit Software - Monthly Payroll Filing,QB-PAY-580
LDG_052,2026-08-26,2499.0,Apple Inc - Developer Mac Hardware,AAPL-DEV-99
LDG_053,2026-08-31,8800.0,Nexus Dynamics Deliverable Sign-off,INV-2026-109
LDG_054,2026-08-31,-6500.0,Cisco Systems Hardware Refresh Switch,PO-CISCO-88
LDG_055,2026-08-30,-1200.0,AdRoll Marketing Retargeting Campaign,INV-ADR-441
LDG_056,2026-08-31,3400.0,Pending Customer Check - TechFlow Ltd,CHK-TF-990
LDG_057,2026-08-31,-2500.0,Accrued Legal Fees - Cooley LLP,ACCR-LEG-26
